arm,deadline_seconds,correct_delivered_percent_of_144,validated_delivered_percent_of_144
large,12.42753413,25.694444444444443,68.75
large,12.45709442,25.694444444444443,69.44444444444444
large,12.45767866,25.694444444444443,69.44444444444444
large,12.734488944,25.694444444444443,69.44444444444444
large,12.887691893,26.38888888888889,70.13888888888889
large,13.176332089,26.38888888888889,70.83333333333333
large,13.682340716,26.38888888888889,71.52777777777777
large,13.989318456,26.38888888888889,71.52777777777777
large,14.028442032,26.38888888888889,71.52777777777777
large,14.159851406,27.083333333333332,72.22222222222223
large,14.440552466,27.083333333333332,72.22222222222223
large,14.469208106,27.083333333333332,72.91666666666667
large,14.570334045,27.083333333333332,72.91666666666667
large,14.630593453,27.083333333333332,73.61111111111111
large,14.828852513,27.083333333333332,74.30555555555556
large,14.843297661,27.083333333333332,75.0
large,15.164716901,27.083333333333332,75.0
large,15.191778419,27.083333333333332,75.0
large,15.341505618,27.083333333333332,75.69444444444444
large,15.370786688,27.083333333333332,76.38888888888889
large,15.600768428,27.77777777777778,77.08333333333333
large,15.671033045,27.77777777777778,77.77777777777777
large,15.86496397,28.47222222222222,78.47222222222223
large,16.006237308,28.47222222222222,79.16666666666667
large,16.07824327,28.47222222222222,79.86111111111111
large,16.16265641,28.47222222222222,80.55555555555556
large,16.226600337,28.47222222222222,81.25
large,16.410511707,28.47222222222222,81.25
large,16.438608627,28.47222222222222,81.25
large,17.148151228,29.166666666666668,81.94444444444444
large,17.31004867,29.166666666666668,82.63888888888889
large,17.672782386,29.166666666666668,82.63888888888889
large,18.265756137,29.166666666666668,83.33333333333333
large,18.71018453,29.166666666666668,84.02777777777777
large,18.72938498,29.166666666666668,84.72222222222223
large,18.965982513,29.166666666666668,84.72222222222223
large,19.043840908,29.166666666666668,85.41666666666667
large,20.218408136,29.166666666666668,86.11111111111111
large,20.809213301,29.166666666666668,86.80555555555556
large,20.844047987,29.166666666666668,86.80555555555556
large,21.304779331,29.86111111111111,87.5
large,21.97845083,29.86111111111111,88.19444444444444
large,22.134141436,30.555555555555557,88.88888888888889
large,22.769022691,30.555555555555557,89.58333333333333
large,23.306651127,30.555555555555557,89.58333333333333
large,23.341958024,30.555555555555557,90.27777777777777
large,24.38652254,30.555555555555557,90.97222222222223
large,25.614028993,30.555555555555557,91.66666666666667
large,27.83337336,30.555555555555557,92.36111111111111
large,28.029266228,30.555555555555557,92.36111111111111
large,28.127150314,30.555555555555557,93.05555555555556
large,29.227627297,30.555555555555557,93.75
large,29.928474276,30.555555555555557,93.75
large,30.01601883,30.555555555555557,93.75
large,30.244361995,30.555555555555557,94.44444444444444
large,30.42459767,30.555555555555557,95.13888888888889
large,32.20247174,30.555555555555557,95.13888888888889
large,32.601532012,30.555555555555557,95.13888888888889
large,37.659707174,30.555555555555557,95.83333333333333
large,38.312603441,30.555555555555557,95.83333333333333
large,50.311104559,30.555555555555557,96.52777777777777
large,55.0,30.555555555555557,96.52777777777777
cascade,0.0,0.0,0.0
cascade,1.014101612,0.0,0.0
cascade,1.025874303,0.0,0.0
cascade,1.0714508,0.0,0.0
cascade,1.080466821,0.0,0.0
cascade,1.111885733,0.0,0.0
cascade,1.117704005,0.0,0.0
cascade,1.142888519,0.0,0.0
cascade,1.144838826,0.0,0.0
cascade,1.155121103,0.0,0.0
cascade,1.155708763,0.0,0.0
cascade,1.17695232,0.0,0.0
cascade,1.178055788,0.0,0.0
cascade,1.19107106,0.0,0.0
cascade,1.220571765,0.0,0.0
cascade,1.230805148,0.0,0.0
cascade,1.317387501,0.0,0.0
cascade,1.354113221,0.0,0.0
cascade,1.369757886,0.0,0.0
cascade,1.460403642,0.0,0.0
cascade,1.464572139,0.0,0.0
cascade,1.466680401,0.0,0.0
cascade,1.468579373,0.0,0.0
cascade,1.472047715,0.0,0.0
cascade,1.481970997,0.0,0.0
cascade,1.492046371,0.0,0.0
cascade,1.495338159,0.0,0.0
cascade,1.502763057,0.0,0.0
cascade,1.513868932,0.0,0.0
cascade,1.51806682,0.0,0.0
cascade,1.519099936,0.0,0.0
cascade,1.523469326,0.0,0.0
cascade,1.52979608,0.0,0.0
cascade,1.530245245,0.0,0.0
cascade,1.532730111,0.0,0.0
cascade,1.545110244,0.0,0.0
cascade,1.547865509,0.0,0.0
cascade,1.554172238,0.0,0.0
cascade,1.555425703,0.0,0.0
cascade,1.563834157,0.0,0.0
cascade,1.567806188,0.0,0.0
cascade,1.569139893,0.0,0.0
cascade,1.593418579,0.0,0.0
cascade,1.594209342,0.0,0.0
cascade,1.598119003,0.0,0.0
cascade,1.603508813,0.0,0.0
cascade,1.635220452,0.0,0.0
cascade,1.646527249,0.0,0.0
cascade,1.650495118,0.0,0.0
cascade,1.667963723,0.0,0.0
cascade,1.717533299,0.0,0.0
cascade,1.748637898,0.0,0.0
cascade,1.766873731,0.0,0.0
cascade,1.79699276,0.0,0.0
cascade,1.834426164,0.0,0.0
cascade,1.875105319,0.0,0.0
cascade,1.879378201,0.0,0.0
cascade,1.905753106,0.0,0.0
cascade,1.90951523,0.0,0.0
cascade,1.927606056,0.0,0.0
cascade,1.941225303,0.0,0.0
cascade,1.942758327,0.0,0.0
cascade,1.954729941,0.0,0.0
cascade,1.95836067,0.0,0.0
cascade,1.971147378,0.0,0.0
cascade,1.971769149,0.0,0.0
cascade,1.996151428,0.0,0.0
cascade,1.997802599,0.0,0.0
cascade,2.02138746,0.0,0.0
cascade,2.044806002,0.0,0.0
cascade,2.054955581,0.0,0.0
cascade,2.060524043,0.0,0.0
cascade,2.07980205,0.0,0.0
cascade,2.100739914,0.0,0.0
cascade,2.108018481,0.0,0.0
cascade,2.126116413,0.0,0.0
cascade,2.133991305,0.0,0.0
cascade,2.167290445,0.0,0.0
cascade,2.171267706,0.0,0.0
cascade,2.195412472,0.0,0.0
cascade,2.210289957,0.0,0.0
cascade,2.221783236,0.0,0.0
cascade,2.237518833,0.0,0.0
cascade,2.251431769,0.0,0.0
cascade,2.254410634,0.0,0.0
cascade,2.255472016,0.0,0.0
cascade,2.256893686,0.0,0.0
cascade,2.260291428,0.0,0.0
cascade,2.265181099,0.0,0.0
cascade,2.268570941,0.0,0.0
