attempt_directory,sequence_id,pattern,arm,repetition,id,index,status,wall_seconds,workload_label,actual_generator,selected_model_size,model_size_decision_source,memory_decision_source,residency_before,residency_after,residency_condition,previous_actual_generator,following_turn_of_transition,following_small_return,return_to_small,output_tokens,prompt_tokens,model_digest,loaded_bytes,gpu_allocated_bytes,gpu_allocation_fraction,context_length,routing_inclusive_seconds,deterministic_routing_inclusive_seconds,memory_classifier_inclusive_seconds,compute_classifier_inclusive_seconds,model_transition_inclusive_seconds,unload_request_inclusive_seconds,eviction_verification_inclusive_seconds,memory_classifier_calls,compute_classifier_calls,generation_calls,unaccounted_seconds,other_instrumented_seconds,deterministic_routing_and_bookkeeping_seconds,memory_classifier_seconds,eviction_seconds,residency_audit_seconds,answer_generation_seconds,validation_seconds,retrieval_seconds
ro_eeee_3_r1_adaptive,ro_eeee_3,EEEE,adaptive,1,ro_eeee_3_t1,1,ok,12.311030639,E,qwen3:0.6b,small,lightweight_small,policy_personal,[],"[""qwen3:0.6b""]",cold_start,,,False,False,55,501,7df6b6e09427a769808717c0a93cadc4ae99ed4eb8bf5ca557c90846becea435,693423308,693423308,1.0,2048,0.031297596,0.017312718,0.0,0.0,0.041909128,0.016529951,0.007490864,0,0,1,0.005241766,0.045221289,0.031297596,,0.024020815,0.007695413,12.115161225,0.013727626,0.068664909
ro_eeee_3_r1_adaptive,ro_eeee_3,EEEE,adaptive,1,ro_eeee_3_t2,2,ok,1.903934679,E,qwen3:0.6b,small,lightweight_small,resident_model,"[""qwen3:0.6b""]","[""qwen3:0.6b""]",resident_same_model,qwen3:0.6b,cold_start,False,False,28,342,7df6b6e09427a769808717c0a93cadc4ae99ed4eb8bf5ca557c90846becea435,693423308,693423308,1.0,2048,0.812165224,0.011659265,0.779754452,0.0,0.013420196,0.0,0.0,1,0,1,0.004184624,0.028146657,0.032410772,0.771835706,,0.016108537,1.046065243,0.00518314,
ro_eeee_3_r1_adaptive,ro_eeee_3,EEEE,adaptive,1,ro_eeee_3_t3,3,ok,1.348709926,E,qwen3:0.6b,small,lightweight_small,resident_model,"[""qwen3:0.6b""]","[""qwen3:0.6b""]",resident_same_model,qwen3:0.6b,resident_same_model,False,False,19,377,7df6b6e09427a769808717c0a93cadc4ae99ed4eb8bf5ca557c90846becea435,693423308,693423308,1.0,2048,0.572867604,0.009987329,0.54495132,0.0,0.013225472,0.0,0.0,1,0,1,0.004823613,0.02389,0.027916284,0.537228898,,0.01537169,0.733071957,0.006407484,
ro_eeee_3_r1_adaptive,ro_eeee_3,EEEE,adaptive,1,ro_eeee_3_t4,4,ok,1.343090849,E,qwen3:0.6b,small,lightweight_small,resident_model,"[""qwen3:0.6b""]","[""qwen3:0.6b""]",resident_same_model,qwen3:0.6b,resident_same_model,False,False,18,407,7df6b6e09427a769808717c0a93cadc4ae99ed4eb8bf5ca557c90846becea435,693423308,693423308,1.0,2048,0.573030075,0.008885484,0.542093604,0.0,0.009878911,0.0,0.0,1,0,1,0.00501344,0.023694988,0.030936471,0.534137994,,0.016703683,0.726141396,0.006462877,
ro_eeee_3_r1_large,ro_eeee_3,EEEE,large,1,ro_eeee_3_t1,1,ok,36.934798038,E,qwen3:1.7b,large,fixed_generator,policy_personal,[],"[""qwen3:1.7b""]",cold_start,,,False,False,36,501,8f68893c685c3ddff2aa3fffce2aa60a30bb2da65ca488b61fff134a4d1730e7,1658826259,1019415101,0.6145400071099308,2048,0.029349851,0.014538987,0.0,0.0,0.00578641,0.0,0.0,0,0,1,0.004702712,0.052567017,0.029349851,,,0.008818276,36.756241949,0.011030893,0.07208734
ro_eeee_3_r1_large,ro_eeee_3,EEEE,large,1,ro_eeee_3_t2,2,ok,18.239373832,E,qwen3:1.7b,large,fixed_generator,fixed_model,"[""qwen3:1.7b""]","[""qwen3:1.7b""]",resident_same_model,qwen3:1.7b,cold_start,False,False,27,314,8f68893c685c3ddff2aa3fffce2aa60a30bb2da65ca488b61fff134a4d1730e7,1658826259,1019415101,0.6145400071099308,2048,4.61436215,0.006279093,4.593464768,0.0,0.010232159,0.0,0.0,1,0,1,0.00427,0.024338854,0.020897382,4.585719759,,0.016090829,13.582744204,0.005312804,
ro_eeee_3_r1_large,ro_eeee_3,EEEE,large,1,ro_eeee_3_t3,3,ok,12.23123556,E,qwen3:1.7b,large,fixed_generator,fixed_model,"[""qwen3:1.7b""]","[""qwen3:1.7b""]",resident_same_model,qwen3:1.7b,resident_same_model,False,False,23,348,8f68893c685c3ddff2aa3fffce2aa60a30bb2da65ca488b61fff134a4d1730e7,1658826259,1019415101,0.6145400071099308,2048,5.912224834,0.007781778,5.889410263,0.0,0.011614073,0.0,0.0,1,0,1,0.005377157,0.023154354,0.022814571,5.880893111,,0.015811785,6.276156354,0.007028228,
ro_eeee_3_r1_large,ro_eeee_3,EEEE,large,1,ro_eeee_3_t4,4,ok,19.961132266,E,qwen3:1.7b,large,fixed_generator,fixed_model,"[""qwen3:1.7b""]","[""qwen3:1.7b""]",resident_same_model,qwen3:1.7b,resident_same_model,False,False,23,383,8f68893c685c3ddff2aa3fffce2aa60a30bb2da65ca488b61fff134a4d1730e7,1658826259,1019415101,0.6145400071099308,2048,8.968469732,0.006251445,8.942349657,0.0,0.011468793,0.0,0.0,1,0,1,0.005872687,0.022944112,0.026120075,8.932255675,,0.016526456,10.952504368,0.004908893,
ro_eeee_3_r1_replay,ro_eeee_3,EEEE,replay,1,ro_eeee_3_t1,1,ok,11.380463274,E,qwen3:0.6b,small,lightweight_small,policy_personal,[],"[""qwen3:0.6b""]",cold_start,,,False,False,55,501,7df6b6e09427a769808717c0a93cadc4ae99ed4eb8bf5ca557c90846becea435,693423308,693423308,1.0,2048,0.017012012,0.0,0.0,0.0,0.038090697,0.015375917,0.007415857,0,0,1,0.0044286,0.043720057,0.017012012,,0.022791774,0.007684855,11.204984733,0.013078785,0.066762458
ro_eeee_3_r1_replay,ro_eeee_3,EEEE,replay,1,ro_eeee_3_t2,2,ok,1.059311378,E,qwen3:0.6b,small,lightweight_small,resident_model,"[""qwen3:0.6b""]","[""qwen3:0.6b""]",resident_same_model,qwen3:0.6b,cold_start,False,False,28,342,7df6b6e09427a769808717c0a93cadc4ae99ed4eb8bf5ca557c90846becea435,693423308,693423308,1.0,2048,0.01200254,0.0,0.0,0.0,0.00553934,0.0,0.0,0,0,1,0.004440471,0.023631119,0.01200254,,,0.007016297,1.005898939,0.006322012,
