attempt_directory,sequence_id,pattern,arm,repetition,id,index,status,wall_seconds,workload_label,actual_generator,selected_model_size,model_size_decision_source,memory_decision_source,residency_before,residency_after,residency_condition,previous_actual_generator,following_turn_of_transition,following_small_return,return_to_small,output_tokens,prompt_tokens,model_digest,loaded_bytes,gpu_allocated_bytes,gpu_allocation_fraction,context_length,routing_inclusive_seconds,deterministic_routing_inclusive_seconds,memory_classifier_inclusive_seconds,compute_classifier_inclusive_seconds,model_transition_inclusive_seconds,unload_request_inclusive_seconds,eviction_verification_inclusive_seconds,memory_classifier_calls,compute_classifier_calls,generation_calls,unaccounted_seconds,other_instrumented_seconds,deterministic_routing_and_bookkeeping_seconds,answer_generation_seconds,eviction_seconds,residency_audit_seconds,validation_seconds,memory_classifier_seconds,retrieval_seconds
ro_dddd_2_r1_small,ro_dddd_2,DDDD,small,1,ro_dddd_2_t3,3,ok,2.914311144,D,qwen3:0.6b,small,fixed_generator,fixed_model,"[""qwen3:0.6b""]","[""qwen3:0.6b""]",resident_same_model,qwen3:0.6b,resident_same_model,False,False,69,557,7df6b6e09427a769808717c0a93cadc4ae99ed4eb8bf5ca557c90846becea435,693423308,693423308,1.0,2048,0.581295417,0.004574751,0.55823535,0.0,0.012021116,0.0,0.0,1,0,1,0.005784857,0.030529601,0.023060067,2.277685031,,0.019909377,0.008613204,0.548729007,
ro_dddd_2_r1_small,ro_dddd_2,DDDD,small,1,ro_dddd_2_t4,4,ok,1.422443937,D,qwen3:0.6b,small,fixed_generator,fixed_model,"[""qwen3:0.6b""]","[""qwen3:0.6b""]",resident_same_model,qwen3:0.6b,resident_same_model,False,False,19,569,7df6b6e09427a769808717c0a93cadc4ae99ed4eb8bf5ca557c90846becea435,693423308,693423308,1.0,2048,0.594509425,0.00582553,0.570245044,0.0,0.012362468,0.0,0.0,1,0,1,0.005174669,0.02308202,0.024264381,0.785826557,,0.017802389,0.006595082,0.559698839,
ro_dddd_3_r1_large,ro_dddd_3,DDDD,large,1,ro_dddd_3_t1,1,ok,41.107489837,D,qwen3:1.7b,large,fixed_generator,policy_personal,[],"[""qwen3:1.7b""]",cold_start,,,False,False,62,416,8f68893c685c3ddff2aa3fffce2aa60a30bb2da65ca488b61fff134a4d1730e7,1658826259,1059145646,0.6384910054646055,2048,0.017706501,0.00890466,0.0,0.0,0.005558648,0.0,0.0,0,0,1,0.0047232,0.037024467,0.017706501,40.935341103,,0.008873999,0.017038988,,0.086781579
ro_dddd_3_r1_large,ro_dddd_3,DDDD,large,1,ro_dddd_3_t2,2,ok,23.779893483,D,qwen3:1.7b,large,fixed_generator,policy_personal,"[""qwen3:1.7b""]","[""qwen3:1.7b""]",resident_same_model,qwen3:1.7b,cold_start,False,False,75,408,8f68893c685c3ddff2aa3fffce2aa60a30bb2da65ca488b61fff134a4d1730e7,1658826259,1059145646,0.6384910054646055,2048,0.019335434,0.008562503,0.0,0.0,0.011193038,0.0,0.0,0,0,1,0.005836861,0.037396368,0.019335434,23.623790616,,0.009911786,0.010436024,,0.073186394
ro_dddd_3_r1_large,ro_dddd_3,DDDD,large,1,ro_dddd_3_t3,3,ok,26.549969303,D,qwen3:1.7b,large,fixed_generator,policy_personal,"[""qwen3:1.7b""]","[""qwen3:1.7b""]",resident_same_model,qwen3:1.7b,resident_same_model,False,False,74,485,8f68893c685c3ddff2aa3fffce2aa60a30bb2da65ca488b61fff134a4d1730e7,1658826259,1059145646,0.6384910054646055,2048,0.014954194,0.005137962,0.0,0.0,0.005225132,0.0,0.0,0,0,1,0.004855457,0.060735158,0.014954194,26.381587872,,0.007457926,0.01473124,,0.065647456
ro_dddd_3_r1_large,ro_dddd_3,DDDD,large,1,ro_dddd_3_t4,4,interrupted,27.544813412,D,qwen3:1.7b,large,fixed_generator,policy_personal,"[""qwen3:1.7b""]","[""qwen3:1.7b""]",resident_same_model,qwen3:1.7b,resident_same_model,False,False,,,8f68893c685c3ddff2aa3fffce2aa60a30bb2da65ca488b61fff134a4d1730e7,1658826259,1059145646,0.6384910054646055,2048,0.019366563,0.006143652,0.0,0.0,0.006089634,0.0,0.0,0,0,1,0.005688342,0.03636298,0.019366563,27.385423646,,0.009788258,0.0127524,,0.075431223
ro_dddd_3_r1_small,ro_dddd_3,DDDD,small,1,ro_dddd_3_t1,1,ok,11.272536751,D,qwen3:0.6b,small,fixed_generator,policy_personal,[],"[""qwen3:0.6b""]",cold_start,,,False,False,65,416,7df6b6e09427a769808717c0a93cadc4ae99ed4eb8bf5ca557c90846becea435,693423308,693423308,1.0,2048,0.019458053,0.009838741,0.0,0.0,0.005509147,0.0,0.0,0,0,1,0.007137479,0.042695763,0.019458053,11.042181719,,0.007743673,0.013216819,,0.140103245
ro_dddd_3_r1_small,ro_dddd_3,DDDD,small,1,ro_dddd_3_t2,2,ok,2.438171556,D,qwen3:0.6b,small,fixed_generator,policy_personal,"[""qwen3:0.6b""]","[""qwen3:0.6b""]",resident_same_model,qwen3:0.6b,cold_start,False,False,75,408,7df6b6e09427a769808717c0a93cadc4ae99ed4eb8bf5ca557c90846becea435,693423308,693423308,1.0,2048,0.023333327,0.012678372,0.0,0.0,0.006221679,0.0,0.0,0,0,1,0.003939918,0.038601627,0.023333327,2.268025695,,0.007047237,0.012053234,,0.085170518
ro_dddd_3_r1_small,ro_dddd_3,DDDD,small,1,ro_dddd_3_t3,3,ok,3.329436228,D,qwen3:0.6b,small,fixed_generator,policy_personal,"[""qwen3:0.6b""]","[""qwen3:0.6b""]",resident_same_model,qwen3:0.6b,resident_same_model,False,False,105,485,7df6b6e09427a769808717c0a93cadc4ae99ed4eb8bf5ca557c90846becea435,693423308,693423308,1.0,2048,0.013714273,0.004310553,0.0,0.0,0.004925034,0.0,0.0,0,0,1,0.005118224,0.042939026,0.013714273,3.171267987,,0.011385439,0.013746465,,0.071264814
ro_dddd_3_r1_small,ro_dddd_3,DDDD,small,1,ro_dddd_3_t4,4,ok,2.921805186,D,qwen3:0.6b,small,fixed_generator,policy_personal,"[""qwen3:0.6b""]","[""qwen3:0.6b""]",resident_same_model,qwen3:0.6b,resident_same_model,False,False,91,457,7df6b6e09427a769808717c0a93cadc4ae99ed4eb8bf5ca557c90846becea435,693423308,693423308,1.0,2048,0.014476629,0.004368122,0.0,0.0,0.005904997,0.0,0.0,0,0,1,0.004505758,0.030642874,0.014476629,2.768933578,,0.007127176,0.01721773,,0.078901441
