sequence_id,pattern,repetition,comparator,adaptive_seconds,comparator_seconds,adaptive_minus_comparator_seconds,adaptive_startup_minus_comparator_seconds,adaptive_requests_minus_comparator_seconds
ro_eded_2,EDED,3,replay,67.6215173,69.334253756,-1.7127364560000018,-1.4591967769999998,-0.2700048250000009
ro_eded_3,EDED,1,small,55.446851689,20.181977226,35.264874463,-0.3606884250000002,35.620292728
ro_eded_3,EDED,1,large,55.446851689,49.856443968,5.590407720999998,0.25962790899999977,5.331156657000001
ro_eded_3,EDED,1,replay,55.446851689,55.389733678,0.057118011000000024,0.28228462600000004,-0.21896409600000055
ro_eded_3,EDED,2,small,64.54972799,19.799744171,44.74998381899999,-0.20763395799999973,44.949256168999995
ro_eded_3,EDED,2,large,64.54972799,55.496775531,9.052952458999997,0.02846532700000015,9.030080255999998
ro_eded_3,EDED,2,replay,64.54972799,57.742528243,6.807199746999991,0.00563168600000008,6.801610974999996
ro_eded_3,EDED,3,small,55.744404854,19.551261468,36.193143386,0.1621980639999996,36.020555876
ro_eded_3,EDED,3,large,55.744404854,57.143369135,-1.3989642809999978,0.18224064999999978,-1.6051084229999972
ro_eded_3,EDED,3,replay,55.744404854,61.602138227,-5.857733372999995,-0.28781955900000034,-5.572887197
ro_eeee_1,EEEE,1,small,20.857891126,20.565135428,0.292755697999997,1.0167904240000003,-0.7033848380000016
ro_eeee_1,EEEE,1,large,20.857891126,116.816727378,-95.958836252,0.9396209230000001,-96.891761723
ro_eeee_1,EEEE,1,replay,20.857891126,16.176710774,4.681180351999998,1.3691597910000004,3.3018669339999995
ro_eeee_1,EEEE,2,small,19.107779396,18.391397468,0.7163819280000006,0.03513110399999997,0.6845282270000013
ro_eeee_1,EEEE,2,large,19.107779396,45.726199434,-26.618420038,0.017085358000000106,-26.62239077
ro_eeee_1,EEEE,2,replay,19.107779396,16.648627407,2.459151989000002,-0.4061990689999999,2.8679693590000017
ro_eeee_1,EEEE,3,small,18.946485028,19.466956108,-0.5204710800000001,0.24180229599999992,-0.7821590490000006
ro_eeee_1,EEEE,3,large,18.946485028,52.463000418,-33.516515389999995,-0.7528582200000002,-32.736755769
ro_eeee_1,EEEE,3,replay,18.946485028,17.699698307,1.246786721000003,-0.277764946,1.5184054000000007
ro_eeee_2,EEEE,1,small,20.008176785,17.9717605,2.0364162850000014,0.2984547759999998,1.730894086000001
ro_eeee_2,EEEE,1,large,20.008176785,92.823930627,-72.81575384199999,0.12349809399999989,-72.927793962
ro_eeee_2,EEEE,1,replay,20.008176785,16.172462348,3.835714437,0.2963235809999998,3.5327106520000005
ro_eeee_2,EEEE,2,small,17.896318197,16.98520698,0.9111112169999984,0.133047001,0.7712652760000012
ro_eeee_2,EEEE,2,large,17.896318197,47.7579124,-29.861594203000003,0.06969586700000008,-29.926837784999996
ro_eeee_2,EEEE,2,replay,17.896318197,16.525849563,1.370468633999998,0.1566260719999999,1.1991928670000007
ro_eeee_2,EEEE,3,small,18.435138872,18.452388258,-0.01724938599999959,0.14463817999999984,-0.16423467399999936
ro_eeee_2,EEEE,3,large,18.435138872,70.092982783,-51.657843911,0.1164367839999998,-51.77620051900001
ro_eeee_2,EEEE,3,replay,18.435138872,17.524155843,0.9109830290000005,-0.640369711,1.5432518890000004
ro_eeee_3,EEEE,1,small,21.629086322,18.256822704,3.372263617999998,2.0564005720000003,1.3073015290000018
ro_eeee_3,EEEE,1,large,21.629086322,89.976824562,-68.34773824000001,2.119714878,-70.459773603
ro_eeee_3,EEEE,1,replay,21.629086322,16.457960404,5.171125917999998,2.034561497,3.1182048080000015
ro_eeee_3,EEEE,2,small,19.508936308,18.596220654,0.9127156539999994,0.40791902099999966,0.5100501449999992
ro_eeee_3,EEEE,2,large,19.508936308,43.075096523,-23.566160215,0.5660573499999999,-24.136782622
ro_eeee_3,EEEE,2,replay,19.508936308,16.029475828,3.47946048,0.30704650599999983,3.149014809999999
ro_eeee_3,EEEE,3,small,18.15737207,18.380338839,-0.22296676899999923,-0.11660599999999999,-0.106690167
ro_eeee_3,EEEE,3,large,18.15737207,74.019233892,-55.861861822,-0.12056742700000012,-55.749044788
ro_eeee_3,EEEE,3,replay,18.15737207,17.674957227,0.4824148430000008,-0.8445666690000002,1.3120316689999996
