sequence_id,pattern,repetition,id,index,comparator,adaptive_status,comparator_status,adaptive_actual_model,comparator_actual_model,identical_actual_model,adaptive_residency_condition,comparator_residency_condition,adaptive_minus_comparator_seconds,output_tokens_difference,gpu_allocation_fraction_difference,adaptive_correct,comparator_correct,quality_outcome,adaptive_minus_comparator_excluding_residency_audit_seconds
ro_dddd_3,DDDD,1,ro_dddd_3_t1,1,large,ok,ok,qwen3:1.7b,qwen3:1.7b,True,cold_start,cold_start,2.341489839999994,0,0.0,False,False,neither_correct,2.342945776999994
ro_dddd_3,DDDD,1,ro_dddd_3_t1,1,replay,ok,error,qwen3:1.7b,qwen3:1.7b,True,cold_start,cold_start,-2.9183679540000043,,0.023950998354674624,False,False,neither_correct,-2.9168278560000043
ro_dddd_3,DDDD,1,ro_dddd_3_t2,2,small,ok,ok,qwen3:1.7b,qwen3:0.6b,False,resident_same_model,resident_same_model,18.697900307,0,-0.36150899453539453,True,True,both_correct,18.697043039
ro_dddd_3,DDDD,1,ro_dddd_3_t2,2,large,ok,ok,qwen3:1.7b,qwen3:1.7b,True,resident_same_model,resident_same_model,-2.643821619999997,0,0.0,True,True,both_correct,-2.641814338999997
ro_dddd_3,DDDD,1,ro_dddd_3_t2,2,replay,ok,ok,qwen3:1.7b,qwen3:1.7b,True,resident_same_model,resident_same_model,-6.961666131999998,0,0.023950998354674624,True,True,both_correct,-6.961523537999998
ro_dddd_3,DDDD,1,ro_dddd_3_t3,3,small,ok,ok,qwen3:1.7b,qwen3:0.6b,False,resident_same_model,resident_same_model,17.594628448,-31,-0.36150899453539453,True,False,adaptive_only_correct,17.599773325
ro_dddd_3,DDDD,1,ro_dddd_3_t3,3,large,ok,ok,qwen3:1.7b,qwen3:1.7b,True,resident_same_model,resident_same_model,-5.625904627000001,0,0.0,True,True,both_correct,-5.624687263
ro_dddd_3,DDDD,1,ro_dddd_3_t3,3,replay,ok,ok,qwen3:1.7b,qwen3:1.7b,True,resident_same_model,resident_same_model,-1.2494579899999998,-33,0.023950998354674624,True,False,adaptive_only_correct,-1.2472567889999997
ro_dddd_3,DDDD,1,ro_dddd_3_t4,4,small,error,ok,qwen3:1.7b,qwen3:0.6b,False,resident_same_model,resident_same_model,22.200311389,,-0.36150899453539453,False,False,neither_correct,22.198021066
ro_dddd_3,DDDD,1,ro_dddd_3_t4,4,large,error,interrupted,qwen3:1.7b,qwen3:1.7b,True,resident_same_model,resident_same_model,-2.422696837,,0.0,False,False,neither_correct,-2.422326078
