model,policy,case_id,repetitions,distinct_delivered_outcomes,mean_request_s,mean_success
qwen3:1.7b,OFF,ir_08_06,3,1,4.939063369333334,
qwen3:1.7b,SELECTIVE,ir_01_01,3,2,5.023326546,
qwen3:1.7b,SELECTIVE,ir_01_02,3,2,9.377802021666668,
qwen3:1.7b,SELECTIVE,ir_01_03,3,2,10.666306597,
qwen3:1.7b,SELECTIVE,ir_01_04,3,1,7.4078139919999995,
qwen3:1.7b,SELECTIVE,ir_01_05,3,1,6.509031654333333,
qwen3:1.7b,SELECTIVE,ir_01_06,3,2,4.9729644833333335,
qwen3:1.7b,SELECTIVE,ir_02_01,3,1,4.527004736666666,
qwen3:1.7b,SELECTIVE,ir_02_02,3,1,16.767871653333334,
qwen3:1.7b,SELECTIVE,ir_02_03,3,1,9.884926965,
qwen3:1.7b,SELECTIVE,ir_02_04,3,2,9.268534226,
qwen3:1.7b,SELECTIVE,ir_02_05,3,1,5.136296751333333,
qwen3:1.7b,SELECTIVE,ir_02_06,3,1,7.0821409630000005,
qwen3:1.7b,SELECTIVE,ir_03_01,3,1,4.022302821666667,
qwen3:1.7b,SELECTIVE,ir_03_02,3,2,7.559329725666666,
qwen3:1.7b,SELECTIVE,ir_03_03,3,1,9.690086688666668,
qwen3:1.7b,SELECTIVE,ir_03_04,3,3,18.994067935666667,
qwen3:1.7b,SELECTIVE,ir_03_05,3,1,4.656808274333334,
qwen3:1.7b,SELECTIVE,ir_03_06,3,1,9.90886706,
qwen3:1.7b,SELECTIVE,ir_04_01,3,1,4.8927398003333336,
qwen3:1.7b,SELECTIVE,ir_04_02,3,1,6.446175390666667,
qwen3:1.7b,SELECTIVE,ir_04_03,3,1,8.050044127,
qwen3:1.7b,SELECTIVE,ir_04_04,3,2,16.508043577666665,
qwen3:1.7b,SELECTIVE,ir_04_05,3,1,7.124340045666667,
qwen3:1.7b,SELECTIVE,ir_04_06,3,2,7.370598383666667,
qwen3:1.7b,SELECTIVE,ir_05_01,3,1,6.354414733666667,
qwen3:1.7b,SELECTIVE,ir_05_02,3,1,14.967279833666668,
qwen3:1.7b,SELECTIVE,ir_05_03,3,1,8.462518905,
qwen3:1.7b,SELECTIVE,ir_05_04,3,1,10.095071098333333,
qwen3:1.7b,SELECTIVE,ir_05_05,3,1,4.65457676,
qwen3:1.7b,SELECTIVE,ir_05_06,3,1,16.100491063,
